Rk,Player,Debut,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp,pts,trb,ast,stl,blk,-9999
1,Ochai Agbaji,Oct 19 '22 UTA vs. DEN,22,2,137,2850,343,819,143,439,93,125,117,337,150,63,59,105,216,922,.419,.326,.744,20.8,6.7,2.5,1.1,0.5,0.4,agbajoc01
2,Patrick Baldwin Jr.,Oct 30 '22 GSW @ DET,20,2,69,719,102,264,63,181,23,34,18,163,40,24,19,30,70,290,.386,.348,.676,10.4,4.2,2.4,0.6,0.3,0.3,baldwpa01
3,Paolo Banchero,Oct 19 '22 ORL @ DET,20,2,152,5229,1119,2529,204,636,799,1093,166,1051,700,131,86,447,313,3241,.442,.321,.731,34.4,21.3,6.9,4.6,0.9,0.6,banchpa01
4,Dominick Barlow,Nov 2 '22 SAS vs. TOR,19,2,61,828,102,199,3,13,47,67,91,215,60,22,33,24,103,254,.513,.231,.701,13.6,4.2,3.5,1.0,0.4,0.5,barlodo01
5,MarJon Beauchamp,Oct 22 '22 MIL vs. HOU,22,2,100,1309,177,409,77,217,46,65,60,214,66,34,14,72,125,477,.433,.355,.708,13.1,4.8,2.1,0.7,0.3,0.1,beaucma01
6,Buddy Boeheim,Oct 21 '22 DET @ NYK,23,2,20,174,14,56,12,50,10,12,5,16,7,2,1,0,11,50,.250,.240,.833,8.7,2.5,0.8,0.4,0.1,0.1,boehebu01
7,Jamaree Bouyea,Feb 10 '23 MIA vs. HOU,23,2,14,166,16,42,3,15,1,2,4,25,15,5,2,13,16,36,.381,.200,.500,11.9,2.6,1.8,1.1,0.4,0.1,bouyeja01
8,Malaki Branham,Oct 30 '22 SAS vs. MIN,19,2,141,3144,540,1239,170,523,113,133,56,329,283,60,15,167,209,1363,.436,.325,.850,22.3,9.7,2.3,2.0,0.4,0.1,branhma01
9,Christian Braun,Oct 19 '22 DEN @ UTA,21,2,158,2836,365,772,97,260,133,198,127,487,191,83,52,90,238,960,.473,.373,.672,17.9,6.1,3.1,1.2,0.5,0.3,braunch01
10,Kendall Brown,Nov 23 '22 IND vs. MIN,19,2,21,103,12,22,0,3,6,10,5,11,8,4,0,4,18,30,.545,.000,.600,4.9,1.4,0.5,0.4,0.2,0.0,brownke03
11,John Butler,Nov 5 '22 POR @ PHO,20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750,11.6,2.4,0.9,0.6,0.4,0.5,butlejo01
12,Jamal Cain,Nov 12 '22 MIA vs. CHO,23,2,44,499,71,145,18,51,35,45,30,89,22,21,6,14,43,195,.490,.353,.778,11.3,4.4,2.0,0.5,0.5,0.1,cainja01
13,Julian Champagnie,Nov 22 '22 PHI vs. BRK,21,2,91,1788,223,532,134,359,89,109,52,266,113,54,47,68,103,669,.419,.373,.817,19.6,7.4,2.9,1.2,0.6,0.5,champju02
14,Kennedy Chandler,Oct 22 '22 MEM @ DAL,20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,0.1,chandke01
15,Max Christie,Oct 18 '22 LAL @ GSW,19,2,108,1456,147,347,68,180,50,62,22,217,81,29,24,48,90,412,.424,.378,.806,13.5,3.8,2.0,0.8,0.3,0.2,chrisma02
16,Chance Comanche,Apr 9 '23 POR vs. GSW,26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,,.250,21.0,7.0,3.0,0.0,0.0,1.0,comanch01
17,Xavier Cooks,Mar 18 '23 WAS vs. SAC,27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400,12.6,3.8,3.8,0.6,0.6,0.4,cooksxa01
18,Dyson Daniels,Oct 19 '22 NOP @ BRK,19,2,120,2400,226,519,69,221,60,93,98,424,298,128,36,116,200,581,.435,.312,.645,20.0,4.8,3.5,2.5,1.1,0.3,daniedy01
19,Johnny Davis,Oct 25 '22 WAS vs. DET,20,2,78,1036,128,325,31,110,28,51,28,137,60,28,18,30,105,315,.394,.282,.549,13.3,4.0,1.8,0.8,0.4,0.2,davisjo06
20,JD Davison,Nov 11 '22 BOS vs. DEN,20,2,20,105,13,31,5,14,4,6,4,19,21,3,3,6,9,35,.419,.357,.667,5.3,1.8,1.0,1.1,0.2,0.2,davisjd01
21,Darius Days,Feb 6 '23 HOU vs. SAC,23,1,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,.417,.300,1.000,6.3,3.8,1.5,0.3,0.0,0.3,daysda01
22,Moussa Diabaté,Oct 27 '22 LAC @ OKC,21,2,33,259,34,66,1,2,19,30,46,74,8,12,9,11,19,88,.515,.500,.633,7.8,2.7,2.2,0.2,0.4,0.3,diabamo01
23,Ousmane Dieng,Oct 19 '22 OKC @ MIN,19,2,72,934,125,297,47,168,29,39,29,156,83,22,12,45,64,326,.421,.280,.744,13.0,4.5,2.2,1.2,0.3,0.2,diengou01
24,Jalen Duren,Oct 19 '22 DET vs. ORL,19,2,128,3447,607,962,0,6,239,338,421,1304,222,77,106,221,374,1453,.631,.000,.707,26.9,11.4,10.2,1.7,0.6,0.8,durenja01
25,Tari Eason,Oct 19 '22 HOU @ ATL,21,2,104,2247,384,849,77,222,130,178,241,649,115,127,66,121,240,975,.452,.347,.730,21.6,9.4,6.2,1.1,1.2,0.6,easonta01
